MeshID	DrugBankIDs
MESH:C544814	DB05225
MESH:C000606997	DB12253
MESH:C000598170	DB15319
MESH:C579035	DB11950
MESH:C554093	DB12852
MESH:C056817	DB12586
MESH:C480540	DB12962
MESH:C548780	DB12764
MESH:C482795	DB05077
MESH:C046235	DB04459
MESH:C035419	DB12948
MESH:D015102	DB01702
MESH:C005975	DB12771
MESH:C063628	DB04052
MESH:C077647	DB11207
MESH:C466797	DB05882
MESH:D015104	DB01509
MESH:C051800	DB01566
MESH:C018691	DB03018
MESH:C000593913	DB12527
MESH:C484863	DB01906
MESH:C000598665	DB03238
MESH:C020891	DB04674
MESH:C082182	DB12629
MESH:C026620	DB13326
MESH:C551528	DB06075
MESH:C026423	DB15464
MESH:C106592	DB05403
MESH:C005941	DB03363
MESH:C033994	DB09169
MESH:C000593616	DB15054
MESH:C080992	DB03233
MESH:C079148	DB05010
MESH:C078157	DB11940
MESH:C057287	DB03666
MESH:C548140	DB12680
MESH:C106731	DB01997
MESH:C103942	DB02871
MESH:C532363	DB12242
MESH:C000606131	DB12543
MESH:C000449	DB09003
MESH:C060066	DB14045
MESH:C030682	DB01957
MESH:C042041	DB01776
MESH:C000852	DB04385
MESH:C107478	DB03064
MESH:C474477	DB03868
MESH:C096387	DB04347
MESH:C011746	DB01860
MESH:C097033	DB03303
MESH:C475626	DB03609
MESH:C518643	DB05936
MESH:C569673	DB12360
MESH:C000603456	DB14969
MESH:C068152	DB03315
MESH:C500627	DB12415
MESH:C571710	DB14715
MESH:D015095	DB03644
MESH:C050931	DB04527
MESH:C011274	DB03640
MESH:C030372	DB03612
MESH:C108959	DB04594
MESH:C535238	DB07069
MESH:C515885	DB05054
MESH:C486592	DB05013
MESH:D019797	DB06704
MESH:C025159	DB03073
MESH:C586842	DB14881
MESH:C025946	DB04104
MESH:C031136	DB03454
MESH:C036386	DB04103
MESH:C030592	DB01571
MESH:C425779	DB03810
MESH:C053603	DB01996
MESH:C441128	DB06333
MESH:C027125	DB12749
MESH:C020849	DB13460
MESH:C017562	DB02797
MESH:C081523	DB03126
MESH:C035253	DB02024
MESH:C048861	DB04410
MESH:C005156	DB04510
MESH:C016808	DB01874
MESH:C015566	DB03552
MESH:C031034	DB02714
MESH:C545531	DB12318
MESH:C032278	DB01485
MESH:C512391	DB14120
MESH:C038864	DB02877
MESH:C531230	DB08142
MESH:C573927	DB05188
MESH:C097944	DB08782
MESH:C002010	DB07347
MESH:C097719	DB02434
MESH:C550724	DB11645
MESH:C000609455	DB12305
MESH:C557982	DB12625
MESH:C547876	DB12556
MESH:C550631	DB12426
MESH:C581614	DB12725
MESH:C582990	DB13012
MESH:C548678	DB02974
MESH:C007542	DB07623
MESH:C000987	DB14079
MESH:C119130	DB14059
MESH:C552704	DB12696
MESH:C004768	DB02129
MESH:C011793	DB03180
MESH:C434703	DB04560
MESH:C000606668	DB11798
MESH:C059780	DB02562
MESH:C081427	DB03321
MESH:C008842	DB13455
MESH:C500007	DB05928
MESH:D010129	DB02362
MESH:C015668	DB13244
MESH:C026729	DB14144
MESH:D015761	DB06637
MESH:C004520	DB02795
MESH:C516117	DB05505
MESH:C048038	DB02822
MESH:D015107	DB04699
MESH:C107477	DB04374
MESH:C000589982	DB15055
MESH:C529233	DB05075
MESH:C040768	DB03728
MESH:C029107	DB13154
MESH:C032538	DB01688
MESH:C559587	DB12929
MESH:C000595259	DB15499
MESH:C030746	DB08748
MESH:C020292	DB13549
MESH:C114760	DB03243
MESH:C412892	DB09177
MESH:C023856	DB02459
MESH:C504849	DB02401
MESH:C000597994	DB04094
MESH:C011483	DB03560
MESH:C038193	DB04242
MESH:C058482	DB01652
MESH:C111420	DB01440
MESH:C068805	DB03410
MESH:C561123	DB04429
MESH:C030601	DB01671
MESH:C023010	DB02601|DB04291
MESH:C014919	DB05003
MESH:C050181	DB03002
MESH:C010201	DB02721
MESH:C100230	DB01472
MESH:C058443	DB09179
MESH:C550465	DB05198
MESH:C000081	DB01447
MESH:C018599	DB04120
MESH:C512248	DB05616
MESH:C046105	DB03425
MESH:C023439	DB03385
MESH:C000606751	DB12323
MESH:C498826	DB04868
MESH:C014110	DB13177
MESH:C033855	DB02759
MESH:C040438	DB12300
MESH:C001833	DB03407
MESH:C024836	DB04417
MESH:C059200	DB02632
MESH:C478738	DB05409
MESH:C073827	DB12767
MESH:C521083	DB14070
MESH:C041819	DB02699
MESH:C434705	DB02260
MESH:C051833	DB14739
MESH:C121358	DB04311
MESH:C075773	DB06819
MESH:C029728	DB14141
MESH:C518606	DB04496
MESH:C003129	DB03912
MESH:C026733	DB01478
MESH:C000614036	DB13101
MESH:C411255	DB05837
MESH:C029501	DB03120
MESH:C109267	DB03610
MESH:C569813	DB06011
MESH:C528044	DB11881
MESH:C568960	DB15023
MESH:C576952	DB12100
MESH:C561635	DB13024
MESH:C560623	DB12960
MESH:C551465	DB05607
MESH:C030371	DB00116
MESH:C061549	DB03826
MESH:C033871	DB01811
MESH:C015158	DB02591
MESH:C066192	DB01931
MESH:C026828	DB01889
MESH:C526817	DB12099
MESH:C549098	DB04605
MESH:C419924	DB06261
MESH:C003528	DB01456
MESH:C431510	DB09207
MESH:C515616	DB12805
MESH:C035826	DB12383
MESH:C011421	DB14197
MESH:C000593257	DB11773
MESH:C048021	DB12921
MESH:C001026	DB02866
MESH:C007746	DB12957
MESH:C439285	DB05415
